Розіграш	Дата проведення	Лототрон	Комплект кульок	Кулька номер 1	Кулька номер 2	Кулька номер 3	Кулька номер 4	Кулька номер 5	Кулька номер 6	Кулька номер 7	Кулька номер 8	Кулька номер 9	Кулька номер 10	Кулька номер 11	Кулька номер 12	Кулька номер 13	Кулька номер 14	Кулька номер 15	Кулька номер 16	Кулька номер 17	Кулька номер 18	Кулька номер 19	Кулька номер 20	2х2	2х3	3х3	2х4	3х4	4х4	3х5	4х5	5х5	3х6	4х6	5х6	6х6	4х7	5х7	6х7	7х7	4х8	5х8	6х8	7х8	8х8	0х9	5х9	6х9	7х9	8х9	9х9	0х10	5х10	6х10	7х10	8х10	9х10	10х10
7006	2020-06-15	А	1	33	79	41	13	12	39	31	3	22	56	70	19	72	75	29	21	30	45	34	10	12	24	9	82	11	0	153	11	0	322	53	8	0	88	14	0	0	217	40	3	0	0	88	80	2	0	0	0	240	366	58	6	0	0	0	Keno_Results__6840-7006
7005	2020-06-14	А	4	51	64	23	76	21	6	35	46	33	34	61	45	80	27	60	47	25	72	78	11	4	24	0	132	22	0	105	13	0	219	45	3	1	74	9	0	0	111	21	0	0	0	142	63	6	0	0	0	320	251	90	12	2	0	0
7004	2020-06-13	Б	2	11	63	21	26	80	38	67	51	41	8	68	10	66	6	17	34	7	46	72	12	11	60	2	121	41	2	123	19	1	586	106	11	0	93	29	1	0	171	25	2	0	0	105	62	21	0	1	0	236	405	59	10	2	0	0
7003	2020-06-12	А	1	14	23	39	50	68	5	75	69	22	27	77	4	25	57	79	80	6	18	16	62	14	54	16	131	31	7	125	16	0	447	88	9	0	122	16	2	0	151	41	4	1	0	96	84	14	2	0	0	280	356	82	9	1	0	0
7002	2020-06-11	Б	1	48	75	20	1	3	43	32	53	4	11	18	55	7	29	36	73	23	13	54	46	5	30	14	117	42	4	140	16	5	380	97	11	2	193	24	0	0	128	37	6	0	0	96	83	22	0	0	0	312	369	75	17	0	0	0
7001	2020-06-10	А	2	48	12	10	14	78	15	77	59	30	76	52	13	1	62	74	38	36	27	60	11	5	40	7	97	11	5	96	10	1	371	56	3	1	156	13	2	0	114	21	2	0	0	149	76	4	2	0	0	322	356	72	18	9	2	0
7000	2020-06-09	А	1	77	70	23	42	15	34	25	61	36	60	74	46	55	51	7	44	66	52	80	58	5	74	17	124	29	1	95	12	1	258	41	6	0	76	15	10	0	119	17	6	0	0	216	62	7	0	0	0	422	249	36	15	0	0	0
6999	2020-06-08	А	2	66	45	26	1	60	46	10	53	58	5	38	7	42	8	73	18	54	29	36	23	7	35	5	104	8	3	109	19	2	369	88	20	0	238	28	1	0	142	17	2	0	0	118	53	7	0	0	0	208	336	81	7	1	0	0
6998	2020-06-07	А	4	57	46	75	34	40	63	71	73	78	74	50	2	43	42	66	3	47	39	35	7	3	233	3	109	25	3	109	21	0	309	95	8	0	141	12	1	0	143	24	1	1	0	132	25	11	1	0	0	302	251	93	7	0	0	0
6997	2020-06-06	А	2	42	57	74	34	52	60	2	75	68	58	62	72	11	20	73	33	63	39	54	37	8	46	2	119	19	3	131	16	2	354	71	11	0	116	14	0	0	140	15	5	0	0	175	68	15	0	0	0	365	335	78	10	0	0	0
