Розіграш	Дата проведення	Лототрон	Комплект кульок	Кулька номер 1	Кулька номер 2	Кулька номер 3	Кулька номер 4	Кулька номер 5	к-ть переможців в категорії 5х5	приз в категорії 5х5	к-ть переможців в категорії 4х5	приз в категорії 4х5	к-ть переможців в категорії 3х5	приз в категорії 3х5	к-ть переможців в категорії 2х5	приз в категорії 2х5
1938	2020-01-31	А	1	32	15	40	11	3	0	840000	3	6673	134	141	1481	15
1937	2020-01-30	А	1	8	37	24	4	29	0	822000	2	10755	70	290	1190	15
1936	2020-01-29	А	4	37	10	41	43	38	0	784000	0	0	66	293	1088	15
1935	2020-01-28	А	2	24	9	45	36	29	0	740000	0	0	71	313	1079	15
1934	2020-01-27	А	2	6	9	2	10	30	0	702000	0	0	87	221	1236	15
1933	2020-01-26	А	2	12	40	5	19	34	0	686000	8	2471	105	177	1391	15
1932	2020-01-25	А	2	31	19	25	39	18	0	653000	0	0	81	230	1113	15
1931	2020-01-24	Б	3	39	26	2	24	3	0	619000	0	0	72	258	1198	15
1930	2020-01-23	Б	1	8	36	5	21	45	0	603000	4	5101	103	187	1278	15
1929	2020-01-22	Б	3	15	42	35	36	39	0	569000	0	0	48	389	934	15
1928	2020-01-21	А	1	44	33	8	10	14	0	534000	0	0	96	201	1300	15
1927	2020-01-20	А	1	13	25	38	26	5	0	517000	3	7161	101	200	1296	15
1926	2020-01-19	Б	4	6	34	43	27	13	0	502000	4	4788	91	198	1021	15
1925	2020-01-18	А	4	10	43	42	29	22	0	487000	5	3880	69	265	998	15
1924	2020-01-17	А	1	31	19	40	22	24	0	471000	1	19827	94	199	1041	15
1923	2020-01-16	Б	3	26	31	3	15	1	0	453000	1	21088	77	258	1177	15
1922	2020-01-15	Б	1	31	40	22	43	4	0	438000	2	9468	72	248	1034	15
1921	2020-01-14	А	2	7	9	43	5	15	0	422000	4	4730	106	168	1363	15
1920	2020-01-13	Б	4	2	3	44	42	5	0	407000	4	4736	93	192	1229	15
1919	2020-01-12	Б	4	36	11	38	23	6	0	393000	3	6229	88	200	1207	15
1918	2020-01-11	А	2	14	41	31	37	9	0	378000	0	0	55	323	969	15
1917	2020-01-10	Б	3	20	8	3	1	6	0	364000	8	2175	117	140	1286	15
1916	2020-01-09	Б	2	37	14	19	40	44	0	348000	0	0	73	252	935	15
1915	2020-01-08	Б	2	5	27	36	31	10	0	335000	2	8165	74	208	871	15
1914	2020-01-07	Б	1	21	32	39	3	1	0	323000	1	13842	46	284	790	15
1913	2020-01-06	А	2	23	30	4	44	10	0	310000	4	4270	75	215	1073	15
1912	2020-01-05	А	1	22	15	26	18	3	0	297000	3	5757	81	201	1191	15
1911	2020-01-04	Б	3	40	2	31	8	16	0	285000	0	0	100	158	1036	15
1910	2020-01-03	Б	4	28	14	30	31	19	0	274000	1	15489	102	143	1063	15
1909	2020-01-02	Б	1	21	17	15	34	27	0	264000	3	4737	79	169	1029	15
1908	2020-01-01	Б	3	18	20	13	40	29	0	256000	3	3364	59	161	658	15
1907	2019-12-31	А	2	16	36	43	32	26	0	241000	1	21295	99	203	1183	15
1906	2019-12-30	А	2	6	19	1	35	22	0	229000	4	4181	123	128	1206	15
1905	2019-12-29	Б	4	3	40	13	2	23	0	217000	6	2750	78	199	1025	15
1904	2019-12-28	Б	3	45	4	28	2	17	0	202000	1	18097	91	187	1284	15
1903	2019-12-27	Б	2	21	41	37	25	28	0	189000	3	4833	59	232	768	15
1902	2019-12-26	А	4	16	40	9	13	1	0	176000	1	15474	87	167	1112	15
1901	2019-12-25	Б	4	23	44	30	8	7	0	165000	1	13384	66	191	900	15
1900	2019-12-24	Б	4	35	9	1	22	4	0	152000	5	2961	91	153	997	15
1899	2019-12-23	Б	1	5	3	45	6	24	0	140000	1	13827	60	217	861	15
1898	2019-12-22	А	3	32	5	43	33	39	0	128000	1	14034	41	323	770	15
1897	2019-12-21	Б	1	12	7	11	28	25	0	116000	0	0	80	157	855	15
1896	2019-12-20	Б	3	23	13	28	15	45	0	100000	0	0	51	244	712	15
1895	2019-12-19	А	4	16	25	18	37	40	1	137000	6	2939	74	225	966	15
1894	2019-12-18	А	1	7	23	12	41	3	0	125000	1	14146	80	167	942	15
1893	2019-12-17	А	3	2	25	3	38	42	0	112000	2	7574	48	298	813	15
1892	2019-12-16	А	2	12	30	42	34	13	0	100000	3	4951	55	255	695	15
1891	2019-12-15	Б	2	9	10	14	43	20	1	1509000	8	3869	156	187	1880	15
1890	2019-12-14	Б	3	24	43	44	42	40	0	1483000	6	5191	99	297	1213	15
1889	2019-12-13	А	1	9	16	4	5	40	0	1458000	5	5967	152	185	1895	15
1888	2019-12-12	Б	3	7	42	18	33	38	0	1432000	2	15384	113	257	1692	15
