Розіграш	Дата проведення	Лототрон	Комплект кульок	Кулька номер 1	Кулька номер 2	Кулька номер 3	Кулька номер 4	Кулька номер 5	Кулька номер 6	переможців які вгадали 2 кульки	приз за 2 кульки	переможців які вгадали 3 кульки	приз за 3 кульки	переможців які вгадали 4 кульки	приз за 4 кульки	переможців які вгадали 5 кульок	приз за 5 кульок	переможців які вгадали 6 кульок	приз за 6 кульок
1997	2020-05-27	Б	4	4	15	16	50	43	5	8859	20	1086	53	56	1395	1	97695	0	31007000
1996	2020-05-23	А	3	40	27	33	17	4	10	8277	20	1151	48	68	1085	1	92285	0	30982000
1995	2020-05-20	Б	2	4	27	37	5	3	7	9164	20	1319	35	60	1054	1	79079	0	30957000
1994	2020-05-16	Б	1	29	50	41	10	3	21	9850	20	1679	28	105	598	0	0	0	30932000
1993	2020-05-13	А	2	33	27	23	35	42	24	6762	20	769	65	40	1678	0	0	0	30907000
1992	2020-05-09	Б	3	44	40	9	35	16	24	6640	20	762	58	49	1208	0	0	0	30882000
1991	2020-05-06	А	2	5	15	39	33	4	25	7419	20	914	48	47	1263	2	37125	0	30857000
1990	2020-05-02	А	1	37	38	42	12	31	27	6145	20	702	61	41	1395	2	35753	0	30832000
1989	2020-04-29	Б	2	33	39	50	8	42	37	6739	20	814	52	29	1966	1	71273	0	30807000

