1:8 2:10 3:8 4:8 5:11 6:4 7:6 8:5 9:6 10:4 11:9 12:7 13:9 14:9 15:8 16:8 17:3 18:9 19:8 20:7 
1:9 2:8 3:3 4:10 5:4 6:11 7:4 8:9 9:7 10:10 11:6 12:8 13:6 14:5 15:7 16:6 17:12 18:11 19:7 20:4 
1:6 2:8 3:9 4:11 5:9 6:7 7:4 8:13 9:8 10:9 11:9 12:6 13:7 14:8 15:6 16:11 17:6 18:7 19:7 20:8 
1:7 2:7 3:11 4:9 5:7 6:6 7:7 8:9 9:5 10:8 11:7 12:6 13:8 14:11 15:6 16:8 17:7 18:8 19:11 20:11 
1:4 2:7 3:9 4:10 5:6 6:10 7:7 8:9 9:13 10:11 11:6 12:9 13:4 14:7 15:4 16:5 17:10 18:11 19:5 20:4 
1:5 2:8 3:5 4:9 5:6 6:6 7:8 8:11 9:7 10:7 11:8 12:8 13:4 14:7 15:10 16:10 17:5 18:7 19:9 20:11 
1:10 2:10 3:9 4:5 5:10 6:8 7:6 8:11 9:8 10:6 11:9 12:11 13:10 14:3 15:10 16:11 17:7 18:7 19:9 20:5 
1:9 2:8 3:5 4:7 5:8 6:7 7:8 8:6 9:13 10:8 11:11 12:11 13:8 14:10 15:8 16:10 17:6 18:6 19:9 20:7 
1:9 2:8 3:5 4:5 5:6 6:11 7:7 8:10 9:8 10:8 11:8 12:5 13:9 14:7 15:10 16:6 17:7 18:6 19:6 20:5 
1:13 2:11 3:6 4:3 5:6 6:7 7:4 8:8 9:9 10:7 11:9 12:7 13:6 14:9 15:5 16:7 17:7 18:8 19:6 20:8 
1:7 2:5 3:6 4:9 5:8 6:7 7:12 8:7 9:9 10:13 11:4 12:11 13:7 14:9 15:6 16:7 17:5 18:3 19:6 20:12 
1:8 2:12 3:8 4:3 5:9 6:3 7:9 8:9 9:7 10:9 11:8 12:7 13:5 14:9 15:9 16:7 17:11 18:6 19:8 20:6 
1:7 2:4 3:7 4:4 5:10 6:10 7:5 8:7 9:11 10:4 11:5 12:4 13:10 14:5 15:6 16:9 17:8 18:8 19:7 20:8 
1:7 2:9 3:8 4:6 5:7 6:12 7:3 8:9 9:8 10:4 11:7 12:12 13:4 14:7 15:6 16:6 17:7 18:7 19:7 20:3 
1:8 2:4 3:11 4:9 5:6 6:7 7:12 8:7 9:7 10:6 11:5 12:9 13:9 14:10 15:7 16:8 17:10 18:8 19:4 20:8 
1:9 2:8 3:7 4:11 5:7 6:7 7:10 8:4 9:7 10:14 11:6 12:7 13:7 14:10 15:4 16:7 17:4 18:12 19:6 20:8 
1:8 2:11 3:5 4:10 5:8 6:8 7:12 8:6 9:4 10:6 11:9 12:11 13:6 14:8 15:6 16:8 17:9 18:5 19:8 20:11 
1:9 2:7 3:8 4:5 5:6 6:11 7:11 8:9 9:9 10:10 11:7 12:6 13:6 14:10 15:10 16:5 17:8 18:5 19:7 20:10 
1:8 2:10 3:6 4:7 5:10 6:7 7:3 8:9 9:8 10:7 11:8 12:11 13:10 14:8 15:7 16:7 17:6 18:12 19:8 20:3 
1:8 2:7 3:7 4:10 5:4 6:7 7:9 8:12 9:9 10:3 11:9 12:6 13:5 14:4 15:9 16:11 17:12 18:6 19:7 20:10 
1:6 2:8 3:6 4:6 5:5 6:8 7:7 8:8 9:8 10:6 11:8 12:8 13:8 14:7 15:7 16:7 17:7 18:4 19:6 20:9 
1:6 2:5 3:6 4:8 5:9 6:4 7:7 8:4 9:5 10:6 11:8 12:5 13:5 14:5 15:10 16:7 17:6 18:11 19:9 20:13 
1:12 2:10 3:8 4:8 5:7 6:3 7:7 8:9 9:8 10:7 11:7 12:9 13:8 14:10 15:3 16:9 17:11 18:10 19:7 20:5 
1:6 2:7 3:7 4:7 5:9 6:9 7:8 8:3 9:8 10:8 11:10 12:7 13:4 14:10 15:6 16:11 17:9 18:10 19:13 20:6 
